title,artist,album,genre,label,bpm,bpmAnalyzed,key,dateAdded,fileType,bitrate,year,rating
"Brown Walls, Part 1",Babe Roots,Spiritual Connection / Brown Walls,Dub,Big Horn Sound,,117.50000000000001,5,1776312000,flac,599,2017,0
"Brown Walls, Part 2",Babe Roots,Spiritual Connection / Brown Walls,Dub,Big Horn Sound,,120.0,5,1776312000,flac,685,2017,0
"Brown Walls, Part 1 and 2",Babe Roots,Spiritual Connection / Brown Walls,Dub,Big Horn Sound,,120.0,5,1776312000,flac,648,2017,0
Temple Song,VersA,Temple Song # Breakthrough # Biosphere,Dub/Dub Techno,System Music,,130.0,5,1776312000,flac,644,2020,0
Breakthrough,VersA,Temple Song # Breakthrough # Biosphere,Dub/Dub Techno,System Music,,125.00000000000001,23,1776312000,flac,567,2020,0
Biosphere,VersA,Temple Song # Breakthrough # Biosphere,Dub/Dub Techno,System Music,,120.0,9,1776312000,flac,629,2020,0
Sweet Version,Babe Roots,Tribal War / Sweet,Reggae,,,110.0,21,1776312000,flac,709,2017,0
Come On,Kosh,The Chopper EP,,,,135.0,21,1776312000,aiff,2117,2024,0
Giggle,Pluralist Obake,Giggle / Siren,Dance Rap/Hip Hop,,,86.95599365234376,23,1776312000,mp3,320,,0
Siren,Pluralist Obake,Giggle / Siren,Dance Rap/Hip Hop,,,140.0,23,1776312000,mp3,320,,0
Calm,Govinda,Worlds Within,Downtempo,,,80.0,13,1776312000,aiff,1411,2004,0
Calm,Govinda,Worlds Within,Downtempo,,,80.0,13,1776312000,flac,761,2004,0
I Get Ready (Bass Mental Mix),Units For Hour,Mantra Vibes Vol. 2,House,Mantra Vibes,128,127.87429046630861,19,1776312000,aiff,1411,2012,0
Exit Glitch (Extended Mix),David Fritz,Exit Glitch EP,Rally House,,,126.0,0,1776312000,aiff,1411,,0
Nirvana - Smells Like Teen Spirit (Mihai Pol Edit),Mihai Pol,,Rominimal,,,122.99999999999999,14,1776312000,aiff,2304,2025,0
Roiju - Revuelta -BMR-006- - 01 Baile De Maní,Unknown Artist,Revuelta [BMR-006],,,,138.04420471191406,17,1776312000,aiff,2304,2025,0
Roiju - Revuelta -BMR-006- - 02 De Noche,Unknown Artist,Revuelta [BMR-006],,,,135.0,1,1776312000,aiff,2304,2025,0
Roiju - Revuelta -BMR-006- - 03 Niños Soldado,Unknown Artist,Revuelta [BMR-006],,,,135.0,21,1776312000,aiff,2304,2025,0
Roiju - Revuelta -BMR-006- - 04 Guerrilla,Unknown Artist,Revuelta [BMR-006],,,,132.0,3,1776312000,aiff,2304,2025,0
Roiju - Revuelta -BMR-006- - 05 Ambush,Unknown Artist,Revuelta [BMR-006],,,,142.0,14,1776312000,aiff,2304,2025,0
Roiju - Revuelta -BMR-006- - 06 Baile De Maní (Brianna Paon Remix),Unknown Artist,Revuelta [BMR-006],,,,138.00000000000003,17,1776312000,aiff,2304,2025,0
Roiju - Revuelta -BMR-006- - 07 Niños Soldado (Perreo Mix),Unknown Artist,Revuelta [BMR-006],,,,105.00000000000001,1,1776312000,aiff,2304,2025,0
As Free As You Are,Arno Lemons,DCVA1,Electro,,,125.00000000000001,21,1776312000,aiff,2117,2025,0
Believe,CRL,DCVA1,Electro,,,125.00000000000001,23,1776312000,aiff,2117,2025,0
Surface Tension,Kalani,DCVA1,Electro,,,144.0,21,1776312000,aiff,2117,2025,0
Sunny = Curtains Closed,Second Storey,DCVA1,Electro,,,133.0,1,1776312000,aiff,2117,2025,0
Shut Everything Down,Mosca,,,,,138.00000000000003,3,1776312000,aiff,2117,,0
01 - Hamza - Dubistan.aiff,,,House,,,122.0,18,1776312000,aiff,1411,,0
02 - Hamza - Dubistan (Pat Lezizmo Remix).aiff,,,,,,122.0,21,1776312000,aiff,1411,,0
Dubistan (Ivo Toscano Remix),Hamza,Dubistan,House,,,122.0,21,1776312000,flac,828,2016,0
Fragile,Mikkel Rev,Journey Beyond,,A Strangely Isolated Place,,104.0,8,1776312000,aiff,1411,2025,0
Two Thousand and Seventeen,Four Tet,New Energy,,Virgin EMI Records,75,75.45011138916017,4,1776312000,aiff,1411,2017,0
Scent of Roses,Sachi Kobayashi,Melodies in the Garden,,Past Inside the Present,120,120.0,13,1776312000,aiff,1411,2022,0
Gavati,Suns of Arqa feat. Wadada,Total Eclipse Of The Suns,Ambient,Interchill Records,109,109.86115264892575,18,1776312000,mp3,320,2019,0
Still Dreaming,Arushi Jain,Delight,,Leaving Records,70,70.0,18,1776312000,aiff,1411,2024,0
Quantum Dub,Frenk Dublin,Quantum Dubz,,Moonshine Recordings,122,122.0,9,1776312000,aiff,1411,2025,0
Reggae Raga,Dub Syndicate,Classic Selection Volume 2,,On-U Sound,77,77.14900970458983,2,1776312000,aiff,1411,1991,0
About God,"Bahramji, Mashti",Divaneh,,Space Tepee Music,80,80.0,23,1776312000,aiff,1411,2010,0
Crazy Heart,"Bahramji, Maneesh de Moor",Call of the Mystic,,Nascente,108,108.0,5,1776312000,aiff,1411,2007,0
Black Spot,Jafu,Growing Pains,Electronic,,138,138.0,13,1776312000,aiff,1411,2025,0
Fluro Biotica,"Sub Basics, Headland",Never Too Late,,Temple of Sound,71,71.02458953857422,21,1776312000,aiff,1411,2025,0
Unafraid,indigenous resistance,IR49 Language Of The Free:Sparks For Dub Fires,,Apple Music,129,130.0,9,1776312000,mp3,320,2024,0
