title,artist,album,genre,bpm,bpm_manual,bpm_alt,key,key_numeric,label,year,track_number,remix,duration_sec,bitrate,file_path
Mooree,Cirkle,Veil Of Echoes I,,119.16,0.0,89.37,9B,8,,2024,8,,304,2117,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/HARDGROOVE (AU)/25. Cirkle - Mooree.aiff
Crippling,Ago,Your Eyes EP,Dubstep,0.0,0.0,0.0,11B,10,,2023,2,,0,0,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/HIGHREZ GIG DLs/18. Ago - Crippling.aiff
Goose,Gilmore,Electric Tears EP,Breaks,126.27,0.0,94.7,8A,19,,2023,2,,290,1411,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/after hours bounce/01. Gilmore - Goose.aiff
CHWTSGD,KiRiK,CHWTSGD EP,Rominimal,135.36,0.0,101.52,1B,0,,2023,1,,403,1411,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/Silent Disco/03. KiRiK - CHWTSGD.aiff
Judna01,Amotik,AMTK+001,,120.86,0.0,181.29,5A,16,,2023,3,,362,1411,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/HARDGROOVE (AU)/05. Amotik - Judna01.aiff
Synchro,Exium,XX Part 1,,125.33,0.0,188.0,4B,3,,2019,4,,329,1411,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/HARDGROOVE (AU)/22. Exium - Synchro.aiff
Overbit,Baalti,Overbit,Baalti,0.0,0.0,0.0,11A,22,,2025,1,,0,0,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/after hours bounce/04. Baalti - Overbit.aiff
Gifting,Kolter,Seducer,Minimal House,126.27,0.0,189.4,3A,14,,2022,3,,345,1411,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/Silent Disco/02. Kolter - Gifting.aiff
Your Love,SOSA,Your Love,,0.0,0.0,0.0,4B,3,,2020,1,,0,0,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/HIGHREZ GIG DLs/23. SOSA - Your Love.aiff
Synergy,Sid Praja,Krystle,,125.33,0.0,188.0,8B,7,,2024,1,,305,1411,/Users/suhaas/Music/March 2026 DLs/Sid Praja - Synergy.aiff
